CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
33156026,3304557,Rio de Janeiro,RJ,662,264,COLEGIO QI
33065250,3304557,Rio de Janeiro,RJ,661.96,265,COL DE APLIC DA UNIV FED DO RIO DE JANEIRO
25073214,2504009,Campina Grande,PB,661.95,266,ESC VIRGEM DE LOURDES
53020006,5300108,Brasília,DF,661.87,267,CED SIGMA - ASA NORTE
31329762,3127701,Governador Valadares,MG,661.87,268,COL GENOMA
31041327,3133808,Itaúna,MG,661.8,269,COLEGIO SANT ANA
35113086,3523404,Itatiba,SP,661.79,270,NEXT COLEGIO
33066728,3304557,Rio de Janeiro,RJ,661.73,271,COLEGIO REDE MV1
31344834,3105608,Barbacena,MG,661.66,272,DESAFIO VESTIBULARES E CURSOS
23195231,2312908,Sobral,CE,661.66,273,LYSIA PIMENTEL GOMES
35133115,3518800,Guarulhos,SP,661.62,274,T PARTHENON COLEGIO UNIDADE I
31344176,3137601,Lagoa Santa,MG,661.2,275,COLEGIO M2
35137133,3550308,São Paulo,SP,661.15,276,PENTAGONO COLEGIO UNIDADE MORUMBI
32074964,3205309,Vitória,ES,661.03,277,COLEGIO SALESIANO JARDIM CAMBURI
31354848,3138203,Lavras,MG,660.99,278,COLEGIO LOSANGO DE LAVRAS
33066523,3304557,Rio de Janeiro,RJ,660.92,279,INSTITUTO DE APLICACAO FERNANDO RODRIGUES DA SILVEIRA CAP-UERJ
31170534,3170206,Uberlândia,MG,660.84,280,COLEGIO PIRLIMPIMPIM SAO PASCHOALL
33166927,3302403,Macaé,RJ,660.78,281,COLEGIO APROVADO
31067873,3136702,Juiz de Fora,MG,660.63,282,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS - CAMPUS JUIZ DE FORA
21009902,2111300,São Luís,MA,660.61,283,CENTRO EDUCACIONAL MONTESSORIANO REINO INFANTIL
33159645,3304557,Rio de Janeiro,RJ,660.55,284,GRUPO EDUCACIONAL MOPI LTDA - UNIDADE INTEGRADO II - TIJUCA
26163039,2611606,Recife,PE,660.42,285,COLEGIO GGE
35103548,3550308,São Paulo,SP,660.29,286,SAO LUIS COLEGIO EIFM
31327026,3152501,Pouso Alegre,MG,660.07,287,CENTRO EDUCACIONAL RENOVACAO
35990012,3550308,São Paulo,SP,660.04,288,IFSP - CAMPUS SAO PAULO
31004952,3106200,Belo Horizonte,MG,659.94,289,COL STA MARIA PAMPULHA
35158483,3550308,São Paulo,SP,659.84,290,STOCKLER COLEGIO
33098557,3300308,Barra do Piraí,RJ,659.6,291,CENTRO DE ESTUDOS INTEGRADOS
35142967,3548708,São Bernardo do Campo,SP,659.56,292,TERMOMECANICA COLEGIO
25097539,2507507,João Pessoa,PB,659.5,293,COLEGIO E CURSO EVOLUCAO
33064776,3304557,Rio de Janeiro,RJ,659.5,294,COL SAO PAULO
31014630,3105608,Barbacena,MG,659.32,295,ESCOLA PREPARATORIA DE CADETES DO AR
31358266,3152501,Pouso Alegre,MG,659.16,296,COLEGIO FENIX ENSINO FUNDAMENTAL ANOS FINAIS E ENSINO MEDIO
28017943,2800308,Aracaju,SE,659.07,297,COLEGIO AMADEUS LTDA
23067071,2304400,Fortaleza,CE,658.92,298,COLEGIO CHRISTUS BARAO DE STUDART
